path,top_component,primary_domain,secondary_domains,all_domains,cross_domain,classification_confidence,classification_basis,review_treatment,is_test,is_fixture,is_example,is_generated,is_vendor,contains_embedded_tests,is_schema,is_doc,is_config,is_build,is_asset,is_symlink,lines,bytes
agatha/scalding/data/loaders/CombinedUserDataLoader.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,192,6461
agatha/scalding/data/loaders/ContributorGraphDataLoader.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,12,536
agatha/scalding/data/loaders/DirectMessageGraphDataLoader.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,34,1331
agatha/scalding/data/loaders/FavGraphDataLoader.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,41,1575
agatha/scalding/data/loaders/FavedTweetsDataLoader.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,38,1547
agatha/scalding/data/loaders/FollowGraphDataLoader.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,12,516
agatha/scalding/data/loaders/HashtagTweetsDataLoader.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,64,2018
agatha/scalding/data/loaders/LegitTattleGraphDataLoader.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,39,1497
agatha/scalding/data/loaders/ListFollowerGraphDataLoader.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,13,559
agatha/scalding/data/loaders/ListMembershipGraphDataLoader.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,13,556
agatha/scalding/data/loaders/MostRecentEdgeSourceDataLoader.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,49,1703
agatha/scalding/data/loaders/MuteGraphDataLoader.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,12,506
agatha/scalding/data/loaders/NonLegitTattlesNoBlocksGraphDataLoader.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,41,1613
agatha/scalding/data/loaders/RetweetedTweetsDataLoader.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,43,1583
agatha/scalding/data/loaders/TweetAuthorEngagementGraph.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,83,2964
agatha/scalding/labels/AgathaLabelManager.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,21,828
agatha/scalding/labels/BUILD.bazel,agatha,D10,D16;D19,D10;D16;D19,YES,HIGH,agatha/account-signals,REPRO_BUILD_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,43,1604
agatha/scalding/labels/LabelExtractionTemplate.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,72,2891
agatha/scalding/labels/LabelUtil.scala,agatha,D10,D16,D10;D16,YES,HIGH,agatha/account-signals,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,62,1948
agatha/scalding/labels/blocks_per_fav/BUILD.bazel,agatha,D10,D16;D19,D10;D16;D19,YES,HIGH,agatha/account-signals,REPRO_BUILD_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,55,1961
